12-05-26,00:00:26,0.116657
12-05-26,00:00:56,0.115716
12-05-26,00:01:26,0.115898
12-05-26,00:01:56,0.115701
12-05-26,00:02:26,0.115807
12-05-26,00:02:56,0.115670
12-05-26,00:03:26,0.116323
12-05-26,00:03:56,0.115716
12-05-26,00:04:26,0.116126
12-05-26,00:04:56,0.115655
12-05-26,00:05:26,0.115685
12-05-26,00:05:56,0.115640
12-05-26,00:06:26,0.116612
12-05-26,00:06:56,0.115807
12-05-26,00:07:26,0.115685
12-05-26,00:07:56,0.115670
12-05-26,00:08:26,0.116035
12-05-26,00:08:56,0.115989
12-05-26,00:09:26,0.116566
12-05-26,00:09:56,0.117037
12-05-26,00:10:26,0.115868
12-05-26,00:10:56,0.115731
12-05-26,00:11:26,0.116171
12-05-26,00:11:56,0.116399
12-05-26,00:12:26,0.115837
12-05-26,00:12:56,0.116506
12-05-26,00:13:26,0.115670
12-05-26,00:13:56,0.116566
12-05-26,00:14:26,0.116384
12-05-26,00:14:56,0.116445
12-05-26,00:15:26,0.117219
12-05-26,00:15:56,0.116688
12-05-26,00:16:26,0.117128
12-05-26,00:16:56,0.116703
12-05-26,00:17:26,0.117128
12-05-26,00:17:56,0.117037
12-05-26,00:18:26,0.116764
12-05-26,00:18:56,0.115913
12-05-26,00:19:26,0.116991
12-05-26,00:19:56,0.117083
12-05-26,00:20:26,0.117204
12-05-26,00:20:56,0.117128
12-05-26,00:21:26,0.117265
12-05-26,00:21:56,0.117159
12-05-26,00:22:26,0.117128
12-05-26,00:22:56,0.117204
12-05-26,00:23:26,0.117189
12-05-26,00:23:56,0.117098
12-05-26,00:24:26,0.117371
12-05-26,00:24:56,0.117128
12-05-26,00:25:26,0.117219
12-05-26,00:25:56,0.117204
12-05-26,00:26:26,0.117143
12-05-26,00:26:56,0.117295
12-05-26,00:27:26,0.117189
12-05-26,00:27:56,0.117341
12-05-26,00:28:26,0.117341
12-05-26,00:28:56,0.117143
12-05-26,00:29:26,0.117629
12-05-26,00:29:56,0.117280
12-05-26,00:30:26,0.117356
12-05-26,00:30:56,0.117963
12-05-26,00:31:26,0.118404
12-05-26,00:31:56,0.118556
12-05-26,00:32:26,0.117705
12-05-26,00:32:56,0.117250
12-05-26,00:33:26,0.118237
12-05-26,00:33:56,0.117751
